name,money,addr
扬中市永工密封件有限公司,5180万元人民币,扬中市八桥镇永福路2号(扬中高新技术创新创业产业园内)
厦门联隆实业有限公司,150万元人民币,厦门市思明区体育路41号7楼西侧
云南燕琪管业有限公司,100万元人民币,云南省昆明市官渡区广福路普自村星都总部基地A幢1单元8层813室
青岛飞龙工艺品集团公司塑料包装厂,30万元人民币,-
石家庄宝和百利纤维素有限公司,30万元人民币,河北省石家庄市晋州市经济开发区东张村
苏州德宝凯迪新材料有限公司,1000万元人民币,太仓市开发区北京东路88号中A幢
佛山市顺德区瀛威塑料制品有限公司,50万元人民币,佛山市顺德区大良五沙甘蔗场德胜电厂首层之四
临沂罗通化工材料有限公司,50万元人民币,沂蒙路284号
安徽飞达电气科技有限公司,25500万元人民币,安徽省宁国市三津大道1号
扬中市胜达玻璃钢阀门厂,40万元人民币,开发区新胜村
普兰店市大王塑料加工厂,-,辽宁省普兰店市元台镇大王村侯甸队
海城市济源塑编有限公司,50万元人民币,海城市牌楼镇海镁总厂厂区内
望江汇通纺织有限公司,1000万元人民币,望江县长岭镇长安大道175号
玉林市新天地电器有限责任公司,50万元人民币,玉林市教育中路386号盛业家园B2幢2单元1101房
浙江中栋恒远新材料科技有限公司,4000万元人民币,萧山区瓜沥镇工农村
汕头经济特区雄伟塑料包装材料有限公司,2000万美元,汕头保税区D08-2地块厂房
广东兴宁无线电厂,82万元人民币,兴宁市兴城镇神光路78号
安徽宿州信创商贸有限公司,50万元人民币,安徽省宿州市汴河路裕城花园小区12#楼0106室
山东泗水华翔塑料实业有限公司,50万元人民币,山东省济宁市泗水县经济开发区泉兴路17号
连云港市弘源塑胶有限公司,300万元人民币,灌南县经济开发区
泉州惠泰石油化工有限公司,1588万元人民币,泉州市泉港区南埔镇先锋村
曲周县龙耀石油产品有限公司,400万元人民币,曲周县城南滏阳河西邯临路南
金堂县清江小学塑料厂,3万元人民币,成都市金堂县清江小学校内
山东中玉浩博塑料有限公司,300万元人民币,山东省临沂市综合保税区临工路100号1205-136
南乐县天润化工有限公司,200万元人民币,县城北两公里处
青州生力包装制品有限公司,200万元人民币,青州市峱山工业园区
青岛庆昕塑料有限公司,2700万美元,青岛经济技术开发区淮河东路南侧
临沂德嘉新材料科技有限公司,100万元人民币,山东省临沂市临沭县店头镇工业园
乌鲁木齐市恒昌伟业包装有限公司,200万元人民币,新疆乌鲁木齐市米东区铁厂沟镇石化新村
镇江星星阻燃剂有限公司,560万元人民币,镇江市丹徒镇上皇村
