日期,省,城市,城市代码,口罩相关厂商,熔喷布相关厂商,纺织机械相关厂商,无纺布相关厂商,医疗器械相关厂商,聚丙烯相关厂商,卫生相关厂商,人口密度,人口数,确诊,疑似,治愈,死亡,百度指数全部,百度指数pc,百度指数移动
2020-01-23,福建省,泉州市,350500,3897,322,17847,2091,11468,114,61222,3238,3941,1,0,0,0,164319,14712,149607
2020-01-23,福建省,宁德市,350900,109,6,1518,106,3032,4,15093,3238,3941,1,0,0,0,164319,14712,149607
2020-01-23,江西省,南昌市,360100,149,38,5258,158,23476,19,19420,4818,4648,2,0,0,0,164319,14712,149607
2020-01-23,江西省,萍乡市,360300,67,11,584,29,2256,42,2854,4818,4648,1,0,0,0,164319,14712,149607
2020-01-23,江西省,九江市,360400,363,30,2818,194,8145,111,10875,4818,4648,1,0,0,0,164319,14712,149607
2020-01-23,江西省,新余市,360500,29,9,1847,29,3669,4,4305,4818,4648,1,0,0,0,164319,14712,149607
2020-01-23,江西省,吉安市,360800,129,24,1421,115,6040,9,7009,4818,4648,1,0,0,0,164319,14712,149607
2020-01-23,江西省,抚州市,361000,89,36,682,198,3952,15,3439,4818,4648,1,0,0,0,164319,14712,149607
2020-01-23,山东省,青岛市,370200,3731,321,46440,1687,41435,279,82282,1622,10047,3,0,0,0,164319,14712,149607
2020-01-23,山东省,潍坊市,370700,2793,373,12083,3045,19972,231,46475,1622,10047,1,0,0,0,164319,14712,149607
2020-01-23,山东省,威海市,371000,355,29,4497,201,8704,32,14299,1622,10047,2,0,0,0,164319,14712,149607
2020-01-23,山东省,日照市,371100,215,27,3048,187,4712,121,13917,1622,10047,1,0,0,0,164319,14712,149607
2020-01-23,山东省,临沂市,371300,1396,132,4647,721,14395,194,20493,1622,10047,2,0,0,0,164319,14712,149607
2020-01-23,河南省,郑州市,410100,1960,87,23591,637,58752,72,40242,4903,9605,3,0,0,0,164319,14712,149607
2020-01-23,河南省,洛阳市,410300,125,17,4287,129,9667,661,16060,4903,9605,1,0,0,0,164319,14712,149607
2020-01-23,河南省,三门峡市,411200,21,4,397,26,1528,10,2739,4903,9605,1,0,0,0,164319,14712,149607
2020-01-23,河南省,信阳市,411500,96,40,575,94,3740,7,3573,4903,9605,1,0,0,0,164319,14712,149607
2020-01-23,河南省,周口市,411600,207,34,2431,681,14304,21,21491,4903,9605,1,0,0,0,164319,14712,149607
2020-01-23,湖北省,武汉市,420100,371,40,18065,990,39744,126,31410,2804,5917,495,0,0,0,164319,14712,149607
2020-01-23,湖北省,十堰市,420300,52,6,2133,32,4671,9,3352,2804,5917,1,0,0,0,164319,14712,149607
2020-01-23,湖北省,宜昌市,420500,88,18,3046,121,6857,31,10098,2804,5917,1,0,0,0,164319,14712,149607
2020-01-23,湖北省,荆门市,420800,41,9,726,60,2959,105,2690,2804,5917,8,0,0,0,164319,14712,149607
2020-01-23,湖北省,孝感市,420900,135,10,952,254,4239,25,3236,2804,5917,22,0,0,0,164319,14712,149607
2020-01-23,湖北省,荆州市,421000,189,32,1348,253,4630,31,4230,2804,5917,8,0,0,0,164319,14712,149607
2020-01-23,湖北省,黄冈市,421100,98,11,1482,86,4740,15,8367,2804,5917,12,0,0,0,164319,14712,149607
2020-01-23,湖南省,长沙市,430100,50,40,14019,99,35101,57,106739,3174,6899,8,0,0,0,164319,14712,149607
2020-01-23,湖南省,株洲市,430200,568,7,2104,43,4782,23,8006,3174,6899,1,0,0,0,164319,14712,149607
